fold,train_start,train_end,test_start,test_end,n_train,n_test,test_recession_n,best_naive_auc,tda_only_auc,tda_plus_all_auc
1,1927-07-16,1974-12-31,1975-01-02,1979-12-26,12982,1260,41,0.835831049040597,0.6471518037575782,0.8350707297064768
2,1927-07-16,1979-12-26,1979-12-27,1984-12-18,14242,1260,466,0.7104598869201414,0.5446941114150118,0.6828872120301402
3,1927-07-16,1984-12-18,1984-12-19,1989-12-13,15502,1260,0,,,
4,1927-07-16,1989-12-13,1989-12-14,1994-12-07,16762,1260,169,0.7698327900682833,0.6435873933582459,0.7434903107186828
5,1927-07-16,1994-12-07,1994-12-08,1999-12-03,18022,1260,0,,,
6,1927-07-16,1999-12-03,1999-12-06,2004-12-09,19282,1260,168,0.7275804552590267,0.3792789551718123,0.6870094191522763
7,1927-07-16,2004-12-09,2004-12-10,2009-12-10,20542,1260,376,0.9703686098007125,0.7501113170309042,0.9749506594781939
8,1927-07-16,2009-12-10,2009-12-11,2014-12-12,21802,1260,0,,,
9,1927-07-16,2014-12-12,2014-12-15,2019-12-16,23062,1260,0,,,
10,1927-07-16,2019-12-16,2019-12-17,2024-12-18,24322,1260,42,0.5946516537649542,0.8045195089530064,0.6617405582922824
11,1927-07-16,2024-12-18,2024-12-19,2026-03-31,25582,319,0,,,
