panel,window,signal,n,n_recession,expansion_mean,recession_mean,cohen_d,p_value,auc
Full sample,60,H0 landscape L1,26153,4218,3.3170538473596654e-16,-0.5234625915968262,-0.5353998955364686,1.617671210900046e-252,0.3457309372285438
Full sample,60,-H1 landscape L1,26153,4218,7.256055291099267e-17,0.39055197216419224,0.4124224753893629,6.276180444089189e-241,0.6493564491752919
Full sample,60,-beta1,26153,4218,6.219475963799373e-17,0.3641384201599715,0.38181266925772056,3.8833743355726336e-185,0.6101285339903025
Full sample,60,-TP H0,26153,4218,-4.56094904011954e-16,0.6402786063661967,0.6531449552013362,0.0,0.6910665299205603
Full sample,60,-TP H1,26153,4218,-5.182896636499477e-17,0.44601704079652654,0.47119827115172525,4.7595592299674e-311,0.6534968017818066
Full sample,60,Composite Z,26153,4218,2.073158654599791e-17,0.26350468957801215,0.4810594446603564,0.0,0.6597252669991504
Post-1970,60,H0 landscape L1,14182,1768,-0.23189046943981667,-0.8581180518415232,-0.6935884613801165,8.381052846946747e-194,0.29622162468735125
Post-1970,60,-H1 landscape L1,14182,1768,-0.12303952991808634,0.3050915151459853,0.4048768370617389,2.7253040313127694e-108,0.6264360793207494
Post-1970,60,-beta1,14182,1768,-0.14639237993772022,0.09640537731002323,0.25481080710201603,1.493669252498368e-38,0.5583228448832036
Post-1970,60,-TP H0,14182,1768,0.06544764996226878,0.7345779061802535,0.6844688821214071,2.7552449099621875e-170,0.702558717095791
Post-1970,60,-TP H1,14182,1768,-0.1223309295472114,0.30560298552708415,0.43573256171137387,8.146994375152415e-125,0.6252270143473979
Post-1970,60,Composite Z,14182,1768,-0.11164113177611312,0.11671194646436459,0.4036320654500516,1.167948320433364e-107,0.6137214989352993
