industry,missing_n,missing_rate,first_valid_date
Hlth,11903,0.454104990080879,1969-07-01
Softw,10925,0.4167938348847856,1965-07-01
Soda,10420,0.397527849839768,1963-07-01
FabPr,10420,0.397527849839768,1963-07-01
Gold,10420,0.397527849839768,1963-07-01
Guns,10420,0.397527849839768,1963-07-01
Rubbr,1495,0.057034945826339084,1930-07-01
Paper,927,0.0353654814588738,1929-07-01
PerSv,315,0.012017396612238669,1927-07-01
Toys,2,7.630093087135663e-05,1926-07-01
Books,1,3.815046543567831e-05,1926-07-01
MedEq,1,3.815046543567831e-05,1926-07-01
LabEq,1,3.815046543567831e-05,1926-07-01
BusSv,0,0.0,1926-07-01
Hardw,0,0.0,1926-07-01
Chips,0,0.0,1926-07-01
Telcm,0,0.0,1926-07-01
Agric,0,0.0,1926-07-01
Boxes,0,0.0,1926-07-01
Trans,0,0.0,1926-07-01
Oil,0,0.0,1926-07-01
Whlsl,0,0.0,1926-07-01
Rtail,0,0.0,1926-07-01
Meals,0,0.0,1926-07-01
Banks,0,0.0,1926-07-01
Insur,0,0.0,1926-07-01
RlEst,0,0.0,1926-07-01
Fin,0,0.0,1926-07-01
Util,0,0.0,1926-07-01
Ships,0,0.0,1926-07-01
Coal,0,0.0,1926-07-01
Txtls,0,0.0,1926-07-01
Beer,0,0.0,1926-07-01
Smoke,0,0.0,1926-07-01
Fun,0,0.0,1926-07-01
Hshld,0,0.0,1926-07-01
Clths,0,0.0,1926-07-01
Drugs,0,0.0,1926-07-01
Chems,0,0.0,1926-07-01
BldMt,0,0.0,1926-07-01
Mines,0,0.0,1926-07-01
Cnstr,0,0.0,1926-07-01
Steel,0,0.0,1926-07-01
Mach,0,0.0,1926-07-01
ElcEq,0,0.0,1926-07-01
Autos,0,0.0,1926-07-01
Aero,0,0.0,1926-07-01
Food,0,0.0,1926-07-01
Other,0,0.0,1926-07-01
