method,window,signal,n,n_recession,cohen_d,p_value,auc
listwise deletion,60,H0 landscape L1,26153,4218,-0.5353998955364686,1.617671210900046e-252,0.3457309372285438
listwise deletion,60,-H1 landscape L1,26153,4218,0.4124224753893629,6.276180444089189e-241,0.6493564491752919
listwise deletion,60,-beta1,26153,4218,0.38181266925772056,3.8833743355726336e-185,0.6101285339903025
listwise deletion,60,-TP H0,26153,4218,0.6531449552013362,0.0,0.6910665299205603
listwise deletion,60,-TP H1,26153,4218,0.47119827115172525,4.7595592299674e-311,0.6534968017818066
listwise deletion,60,Composite Z,26153,4218,0.4810594446603564,0.0,0.6597252669991504
drop seven high-missing industries,60,H0 landscape L1,26153,4218,-0.409922904900803,9.00293077350923e-142,0.38275030876496935
drop seven high-missing industries,60,-H1 landscape L1,26153,4218,0.38051205565486124,7.961326007661644e-198,0.6372236584598469
drop seven high-missing industries,60,-beta1,26153,4218,0.33391319848127243,7.839863477443197e-132,0.5948006378602758
drop seven high-missing industries,60,-TP H0,26153,4218,0.45908485189223724,1.4975486319323709e-167,0.6332829344166668
drop seven high-missing industries,60,-TP H1,26153,4218,0.43226257963473586,3.47949324837407e-243,0.6400229005414182
drop seven high-missing industries,60,Composite Z,26153,4218,0.4253633357844496,4.446901106459752e-236,0.6400806382666664
KNN k=5 distance-weighted,60,H0 landscape L1,26153,4218,-0.5520522184131212,1.9842213191629443e-276,0.3399182765840235
KNN k=5 distance-weighted,60,-H1 landscape L1,26153,4218,0.3460545247914738,2.5696521613867365e-179,0.6001910900378862
KNN k=5 distance-weighted,60,-beta1,26153,4218,0.29386454166350157,1.0373509764256002e-113,0.5711236634640712
KNN k=5 distance-weighted,60,-TP H0,26153,4218,0.5765061788101552,8.234825589944126e-279,0.6703948895087787
KNN k=5 distance-weighted,60,-TP H1,26153,4218,0.39296665972459766,1.0465258731318853e-239,0.6024356576172348
KNN k=5 distance-weighted,60,Composite Z,26153,4218,0.37437540950360804,1.670795299708465e-211,0.5992486854183494
MICE pooled m=10,60,H0 landscape L1,26153,4218,-0.40872881837089436,4.47508782679114e-139,0.3838557235627527
MICE pooled m=10,60,-H1 landscape L1,26153,4218,0.3176681902871069,2.5414726003297775e-112,0.6028604924913397
MICE pooled m=10,60,-beta1,26153,4218,0.3647873356875452,5.361847027046197e-165,0.6053395074438108
MICE pooled m=10,60,-TP H0,26153,4218,0.4407871890529257,3.1031508678539368e-152,0.6268301978030483
MICE pooled m=10,60,-TP H1,26153,4218,0.38730631519105996,9.611311165098387e-174,0.6188612946804013
MICE pooled m=10,60,Composite Z,26153,4218,0.38823451857418073,1.2056506008307468e-177,0.6234207753997084
