episode,episode_short,crisis_type,financial_crisis,start,end,n_during,pre_mean_z,during_mean_z,post_mean_z,elevation_vs_pre,peak_z,mean_volatility_60,disruption_sum
Great Depression,1929-1933,financial,True,1929-08-01,1933-03-01,1065,0.24212688506375632,0.405705596130891,0.52022764010534,0.1635787110671347,0.776222543452773,1.9042321680040952,457.00574160150796
1937-1938 recession,1937-1938,demand,False,1937-05-01,1938-06-01,325,0.18509810409075073,0.4750308804717179,0.48370316100129573,0.28993277638096715,0.7134360954158527,1.7520941827521521,154.3850361533083
Postwar recession,1945,supply/monetary,False,1945-02-01,1945-10-01,190,0.4506462363365351,0.40280946174977966,0.473297807259366,-0.04783677458675545,0.6801785892837943,0.6517873141450888,76.53379773245814
1948-1949 recession,1948-1949,demand,False,1948-11-01,1949-10-01,259,0.44147919964273746,0.43153487586227723,0.2090367930066025,-0.00994432378046023,0.7086947839507743,0.6760785525896764,112.0604764361292
1953-1954 recession,1953-1954,demand,False,1953-07-01,1954-05-01,209,0.2876184403160458,0.21654151008000758,0.07615287646317036,-0.0710769302360382,0.5619794180951418,0.4623846973180278,61.6671987644802
1957-1958 recession,1957-1958,demand,False,1957-08-01,1958-04-01,169,0.060407633679824095,0.4946148304040821,0.20821558754609804,0.434207196724258,0.7142457978738849,0.7918731732860217,83.6079999329271
1960-1961 recession,1960-1961,demand,False,1960-04-01,1961-02-01,211,0.17154939835597582,0.0062120851622555675,-0.36896260527957037,-0.16533731319372025,0.5518122528372109,0.5976358072061438,51.844131686007316
1969-1970 recession,1969-1970,supply/monetary,False,1969-12-01,1970-11-01,234,0.12891326252119464,0.10165726758663489,-0.4410371551268643,-0.027255994934559755,0.5090047734324757,1.1271562014408516,37.464348672801876
1973-1975 recession,1973-1975,supply/monetary,False,1973-11-01,1975-03-01,335,0.24634305109679583,0.3519208159828916,0.17834656122804904,0.10557776488609577,0.6366074733397559,1.2642460532090034,118.37504976756135
1980 recession,1980,supply/monetary,False,1980-01-01,1980-07-01,127,0.3237517774283801,0.16179843766746488,0.2946209897962844,-0.16195333976091525,0.5044760585359338,0.9948414866416583,25.86400807838346
1981-1982 recession,1981-1982,supply/monetary,False,1981-07-01,1982-11-01,339,-0.04644865270261452,0.1941392882638897,0.25326296515448515,0.24058794096650424,0.4985399523714746,0.8695798435206248,71.88608625017113
1990-1991 recession,1990-1991,financial,True,1990-07-01,1991-03-01,169,0.3260444053061802,-0.03453902412757154,-0.17431514756594602,-0.3605834294337517,0.4523571462597948,1.0274689748371892,13.116335105174128
2001 recession,2001,demand,False,2001-03-01,2001-11-01,168,-1.7849600765260705,-0.6197573777163666,-0.29628421150646084,1.1652026988097037,0.2401194146334583,1.1282155205978013,1.0744419447800977
Global Financial Crisis,2007-2009,financial,True,2007-12-01,2009-06-01,376,0.10995211114942041,0.22517372339459235,0.21752749499077215,0.11522161224517194,0.5475016747799442,2.235191246148094,89.64849198517571
COVID recession,2020,financial,True,2020-02-01,2020-04-01,42,-0.43905533699776544,0.09024386607350401,-0.07772002834235951,0.5292992030712694,0.4115429733262933,1.7593695466551804,6.166302461708409
