month_bin,mean_composite_z,mean_abs_corr,mean_volatility_60,n,episode,episode_short,start,end
-6,0.40142525149269453,0.41693217959027085,0.8989241884966759,21,Great Depression,1929-1933,1929-08-01,1933-03-01
-5,0.16621604294574868,0.41422750794006097,0.8807958859114619,24,Great Depression,1929-1933,1929-08-01,1933-03-01
-4,0.14743837830625417,0.4855755920068362,1.0753806390990888,26,Great Depression,1929-1933,1929-08-01,1933-03-01
-3,0.2751554600380113,0.4639741609506004,0.9976424446496636,25,Great Depression,1929-1933,1929-08-01,1933-03-01
-2,0.3348730079703904,0.41711580727054737,0.9127715398789426,25,Great Depression,1929-1933,1929-08-01,1933-03-01
-1,0.15389201484364856,0.34275333278571246,0.834604385952307,25,Great Depression,1929-1933,1929-08-01,1933-03-01
0,-0.6020879768756038,0.2592232935827077,0.6574731816377627,26,Great Depression,1929-1933,1929-08-01,1933-03-01
1,-0.01906456562480464,0.30137444667749963,0.7317951849590218,23,Great Depression,1929-1933,1929-08-01,1933-03-01
2,0.33737327946352197,0.45276655357652473,1.1913967602168918,25,Great Depression,1929-1933,1929-08-01,1933-03-01
3,0.5965822426718068,0.7148546342147464,3.603078091375965,19,Great Depression,1929-1933,1929-08-01,1933-03-01
4,0.6089764929116286,0.7091542779868717,3.9585043519459178,23,Great Depression,1929-1933,1929-08-01,1933-03-01
5,0.5963371653695598,0.6838027397281641,3.539875486402053,24,Great Depression,1929-1933,1929-08-01,1933-03-01
6,0.35173616634629085,0.4512323471198731,1.3368288165098485,24,Great Depression,1929-1933,1929-08-01,1933-03-01
7,0.3098810048028002,0.2871874755321867,0.7998566483807262,26,Great Depression,1929-1933,1929-08-01,1933-03-01
8,-0.17123007384045674,0.235203835709093,0.6782175289342717,23,Great Depression,1929-1933,1929-08-01,1933-03-01
9,0.03716474147736219,0.3397268842628598,0.957125902907547,26,Great Depression,1929-1933,1929-08-01,1933-03-01
10,0.4888658930364244,0.4506772374521311,1.278928250717678,24,Great Depression,1929-1933,1929-08-01,1933-03-01
11,0.45313579851559016,0.5591124515873875,1.7044011454410513,24,Great Depression,1929-1933,1929-08-01,1933-03-01
12,0.531339111877396,0.5730279955727207,1.7025869366048494,25,Great Depression,1929-1933,1929-08-01,1933-03-01
13,0.518985232236305,0.4710713636180777,1.1660722645976807,24,Great Depression,1929-1933,1929-08-01,1933-03-01
14,0.48003370682251467,0.5026336914473996,1.2255421187503535,25,Great Depression,1929-1933,1929-08-01,1933-03-01
15,0.4703052536564864,0.5178836100419348,1.464559837752337,24,Great Depression,1929-1933,1929-08-01,1933-03-01
16,0.40112913236898434,0.4913650641474018,1.616593867658625,25,Great Depression,1929-1933,1929-08-01,1933-03-01
17,0.5128854525678516,0.49380376419462196,1.729065317338718,24,Great Depression,1929-1933,1929-08-01,1933-03-01
18,0.5575391598470172,0.4897968560567562,1.6192102838151015,25,Great Depression,1929-1933,1929-08-01,1933-03-01
19,0.4764734552998114,0.42474124342063785,1.2817493267009812,24,Great Depression,1929-1933,1929-08-01,1933-03-01
20,0.28879440269436435,0.39877261163176714,1.155163298548739,25,Great Depression,1929-1933,1929-08-01,1933-03-01
21,0.2032777288462662,0.431112628433509,1.260883106221286,26,Great Depression,1929-1933,1929-08-01,1933-03-01
22,0.3368179230114621,0.4567679307018238,1.537287111908235,24,Great Depression,1929-1933,1929-08-01,1933-03-01
