window,signal,n,n_recession,expansion_mean,recession_mean,cohen_d,p_value,auc
60,H0 landscape L1,26153,4218,3.3170538473596654e-16,-0.5234625915968262,-0.5353998955364686,1.617671210900046e-252,0.3457309372285438
60,-H1 landscape L1,26153,4218,7.256055291099267e-17,0.39055197216419224,0.4124224753893629,6.276180444089189e-241,0.6493564491752919
60,-beta1,26153,4218,6.219475963799373e-17,0.3641384201599715,0.38181266925772056,3.8833743355726336e-185,0.6101285339903025
60,-TP H0,26153,4218,-4.56094904011954e-16,0.6402786063661967,0.6531449552013362,0.0,0.6910665299205603
60,-TP H1,26153,4218,-5.182896636499477e-17,0.44601704079652654,0.47119827115172525,4.7595592299674e-311,0.6534968017818066
60,Composite Z,26153,4218,2.073158654599791e-17,0.26350468957801215,0.4810594446603564,0.0,0.6597252669991504
120,H0 landscape L1,26093,4218,2.702498542410987e-16,-0.538808111359765,-0.5543762618596337,1.5019846731683165e-286,0.33905274537695596
120,-H1 landscape L1,26093,4218,0.0,0.31902005368177166,0.3355394241410716,6.184857056981224e-152,0.6185229939714151
120,-beta1,26093,4218,0.0,0.2994294448977753,0.3113315463663214,3.602227162519924e-111,0.5783287245139878
120,-TP H0,26093,4218,-2.598556290779795e-16,0.6564708780198022,0.6733192486296607,0.0,0.7013508690645532
120,-TP H1,26093,4218,-2.078845032623836e-17,0.3864091568884742,0.4085559102284338,2.7441363457191135e-241,0.6251593632730474
120,Composite Z,26093,4218,0.0,0.22450428442561166,0.41036169755403734,9.197837749266789e-219,0.6310456357108989
252,H0 landscape L1,25961,4218,1.0457327666064116e-16,-0.39053282355193375,-0.40320645388209975,3.487496869250991e-165,0.37504997984232685
252,-H1 landscape L1,25961,4218,-2.091465533212823e-17,0.1878679795591931,0.1941672857009047,8.448829262378448e-42,0.6023997422626624
252,-beta1,25961,4218,4.182931066425646e-17,0.31506996009008553,0.32351806237624736,2.0998533728265395e-102,0.5855963420872393
252,-TP H0,25961,4218,1.8823189798915407e-16,0.4990149036229248,0.5135581803539436,2.91887298678483e-249,0.6666853010927449
252,-TP H1,25961,4218,0.0,0.27501346403724486,0.28292764895445544,4.515398298577046e-81,0.6053711645111902
252,Composite Z,25961,4218,8.365862132851292e-17,0.1772866967515029,0.3183322728774182,2.5251090507433064e-106,0.6133966105669038
